3649;672111;09-Aug;Sun;310554;16520405
2554;674665;10-Aug;Mon;388029;16908434
2442;677107;11-Aug;Tue;329929;17238363
1636;678743;12-Aug;Wed;460611;17698974
1755;680498;13-Aug;Thu;411668;18110642
1445;681943;14-Aug;Fri;219495;18330137
1365;683308;15-Aug;Sat;333138;18663275
1386;684694;16-Aug;Sun;792143;19455418
1271;685695;17-Aug;Mon;0;19455418
1309;687274;18-Aug;Tue;285548;19740966
1286;688560;19-Aug;Wed;481008;20221974
1107;689667;20-Aug;Thu;404007;20625981
1154;690821;21-Aug;Fri;307288;20933269
1221;692042;22-Aug;Sat;260992;21194261
1547;693589;23-Aug;Sun;380120;21574381
1138;694727;24-Aug;Mon;397473;21971854
1270;695997;25-Aug;Tue;370755;22342609
1304;697301;26-Aug;Wed;373414;22716023
1248;698549;27-Aug;Thu;560221;23276244
3262;701811;28-Aug;Fri;631582;23907826
1941;703752;29-Aug;Sat;467097;24374923
1730;705482;30-Aug;Sun;496971;24871894
1392;706874;31-Aug;Mon;293297;25165191
697;707571;01-Sep;Tue;250633;25415824
2075;709924;02-Sep;Wed;292096;25707920
1278;710924;03-Sep;Thu;380653;26088573
1120;712044;04-Sep;Fri;278224;26366797
1302;713346;05-Sep;Sat;243148;26609945
1325;714671;06-Sep;Sun;495459;27105404
1434;716105;07-Sep;Mon;371614;27477018
1659;717764;08-Sep;Tue;0;27477018
1762;719526;09-Sep;Wed;797513;28274531
1503;721029;10-Sep;Thu;377571;28652102
1633;722662;11-Sep;Fri;307467;28959569
1427;724089;12-Sep;Sat;337499;29297068
1714;725803;13-Sep;Sun;400180;29697248
1426;727229;14-Sep;Mon;415566;30112814
1316;728545;15-Sep;Tue;296838;30409652
1352;729897;16-Sep;Wed;383192;30792844
1590;731487;17-Sep;Thu;465588;31258432
1721;733208;18-Sep;Fri;553801;31812233
1453;734661;19-Sep;Sat;474011;32286244
1535;736196;20-Sep;Sun;367283;32653527
1197;737393;21-Sep;Mon;382909;33036436
1259;738652;22-Sep;Tue;415973;33452409
997;739649;23-Sep;Wed;372705;33825114
511;740160;24-Sep;Thu;294885;34119999
685;740845;25-Sep;Fri;217958;34337957
977;741822;26-Sep;Sat;264549;34602506
994;742816;27-Sep;Sun;366460;34968966
795;743611;28-Sep;Mon;346869;35315835
703;744314;29-Sep;Tue;266862;35582697
726;745040;30-Sep;Wed;222431;35805128
653;745693;01-Oct;Thu;274411;36079539
608;746301;02-Oct;Fri;352071;36431610
1196;747497;03-Oct;Sat;338881;36770491
1014;748511;04-Oct;Sun;405191;37175682
991;749502;05-Oct;Mon;425023;37600705
909;750411;06-Oct;Tue;318636;37919341
628;751039;07-Oct;Wed;284918;38204259
758;751797;08-Oct;Thu;330177;38534436
732;752529;09-Oct;Fri;260997;38795433
875;753404;10-Oct;Sat;338225;39133658
1170;754574;11-Oct;Sun;519893;39653551
1026;755600;12-Oct;Mon;448995;40102546
880;756480;13-Oct;Tue;345365;40447911
925;757405;14-Oct;Wed;494907;40942818
946;758351;15-Oct;Thu;398001;41340819
935;759286;16-Oct;Fri;289861;41630680
538;759824;17-Oct;Sat;242249;41872929
1020;760844;18-Oct;Sun;353305;42226234
941;761785;19-Oct;Mon;374274;42600508
1187;762972;20-Oct;Tue;0;42600508
1359;764331;21-Oct;Wed;796155;43396663
1080;765411;22-Oct;Thu;537301;43933964
956;766367;23-Oct;Fri;477045;44411009
955;767322;24-Oct;Sat;302947;44713956
1040;768362;25-Oct;Sun;299949;45013905
1062;769424;26-Oct;Mon;345769;45359674
1173;770597;27-Oct;Tue;278158;45637832
1196;771793;28-Oct;Wed;485555;46123387
1060;772853;29-Oct;Thu;512615;46636002
910;773763;30-Oct;Fri;457860;47093862
1090;774853;31-Oct;Sat;449469;47543331
1463;776316;01-Nov;Sun;453167;47996498
1318;777634;02-Nov;Mon;412794;48409292
349;777983;03-Nov;Tue;0;48409292
1092;779075;04-Nov;Wed;829062;49238354
1056;780131;05-Nov;Thu;498696;49737050
173;780304;06-Nov;Fri;334466;50071516
